step,amount,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,original_error,is_transfer_or_cashout,fraud_prone,transfer_high_amount
130,1330546.06,0,0,0,0,0,1,-1315278.06,1,1,1
645,10000000.0,1,0,0,0,0,1,1576859.769044375,1,1,1
259,313873.55,0,0,1,0,0,0,-302790.55,1,1,0
307,119999.13,0,0,1,0,0,0,210169.61426675972,1,1,0
122,188249.17,1,0,1,0,0,0,0.0,1,1,0
206,1762.16,0,0,0,0,1,0,434109.2189163563,0,0,0
206,190248.08,0,0,1,0,0,0,-160494.08,1,1,0
356,452843.31,0,0,0,0,0,1,-452067.31,1,1,1
242,8241.55,0,0,0,0,1,0,70443.28726412583,0,0,0
274,116398.76,0,0,1,0,0,0,33918.80793806886,1,1,0
278,31278.45,0,1,0,0,0,0,4673506.369279731,0,0,0
154,178305.95,0,1,0,0,0,0,-167098.10228650976,0,0,0
308,11367.94,0,0,0,0,1,0,12302.64158423332,0,0,0
214,48588.01,0,1,0,0,0,0,5095925.827155095,0,0,0
372,162254.51,0,1,0,0,0,0,-152988.5625339201,0,0,0
160,314275.9,0,1,0,0,0,0,-300966.59954527323,0,0,0
602,232185.56,1,0,1,0,0,0,0.0,1,1,0
371,10822.73,0,0,0,0,1,0,-10822.73,0,0,0
213,11154.41,0,0,0,0,1,0,4731.126083120484,0,0,0
187,83614.61,0,0,1,0,0,0,121659.68091261612,1,1,0
136,7563536.91,1,0,1,0,0,0,0.0,1,1,0
35,196925.95,0,1,0,0,0,0,709011.6465659074,0,0,0
331,11170.19,0,0,0,0,1,0,13577.293071653743,0,0,0
625,6870369.62,1,0,0,0,0,1,0.0,1,1,1
675,1091589.88,1,0,0,0,0,1,0.0,1,1,1
670,1938347.14,1,0,0,0,0,1,0.0,1,1,1
459,277611.08,1,0,0,0,0,1,0.0,1,1,1
379,171416.11,0,0,1,0,0,0,-146769.11,1,1,0
269,48412.47,1,0,0,0,0,1,0.0,1,1,0
403,10155.74,0,1,0,0,0,0,2097583.694059339,0,0,0
510,177137.79,1,0,1,0,0,0,0.0,1,1,0
232,138398.39,0,0,1,0,0,0,-138398.39,1,1,0
94,2169679.91,1,0,0,0,0,1,0.0,1,1,1
730,3191058.32,1,0,0,0,0,1,0.0,1,1,1
21,60619.92,0,1,0,0,0,0,-59866.944919481364,0,0,0
377,140393.79,0,0,1,0,0,0,-140393.79,1,1,0
240,340233.62,0,1,0,0,0,0,1355087.783713289,0,0,0
483,3488355.65,1,0,0,0,0,1,0.0,1,1,1
327,90439.19,0,0,1,0,0,0,-13526.190000000002,1,1,0
159,37092.92,0,0,1,0,0,0,-37092.92,1,1,0
280,24462.33,0,0,0,0,1,0,-24462.33,0,0,0
284,153650.96,0,1,0,0,0,0,6185368.49381296,0,0,0
39,102936.11,0,1,0,0,0,0,6579678.429691527,0,0,0
323,254481.96,0,0,1,0,0,0,44487.33677710514,1,1,0
134,489905.76,0,0,1,0,0,0,-489905.76,1,1,0
280,36575.56,0,0,1,0,0,0,-35236.56,1,1,0
720,79039.81,1,0,1,0,0,0,0.0,1,1,0
563,21743.91,0,0,0,0,1,0,-12646.91,0,0,0
317,681007.64,1,0,1,0,0,0,0.0,1,1,0
42,336622.05,0,1,0,0,0,0,3191762.0625219825,0,0,0
335,19462.12,0,0,0,0,1,0,217005.9822585696,0,0,0
140,329041.54,0,0,1,0,0,0,-329041.54,1,1,0
41,475587.71,0,1,0,0,0,0,-447752.83921328315,0,0,0
225,55355.24,0,0,0,0,1,0,-24903.239999999998,0,0,0
379,229660.53,0,1,0,0,0,0,6437511.6334247375,0,0,0
162,28838.41,0,0,0,0,1,0,2340.8180081322425,0,0,0
473,70239.81,1,0,1,0,0,0,0.0,1,1,0
330,14557.56,0,0,1,0,0,0,-14557.56,1,1,0
48,5489302.04,1,0,1,0,0,0,0.0,1,1,0
213,11187.83,0,0,0,0,1,0,-10863.83,0,0,0
211,25211.17,0,0,1,0,0,0,-25211.17,1,1,0
258,178647.59,0,0,1,0,0,0,-15258.589999999997,1,1,0
451,384886.08,0,0,1,0,0,0,-384886.08,1,1,0
308,151960.27,0,0,1,0,0,0,-148140.27,1,1,0
258,29280.46,1,0,1,0,0,0,0.0,1,1,0
130,309413.7,0,0,1,0,0,0,-309270.7,1,1,0
349,13173.28,0,0,0,0,1,0,29759.41871936086,0,0,0
235,89116.04,0,1,0,0,0,0,357888.7678586514,0,0,0
308,5485.24,0,0,0,0,1,0,-5485.24,0,0,0
563,25529.76,1,0,0,0,0,1,0.0,1,1,0
189,89629.3,0,0,1,0,0,0,-89629.3,1,1,0
182,160547.1,0,0,1,0,0,0,-160547.1,1,1,0
378,20407.1,0,1,0,0,0,0,92502.09942421308,0,0,0
400,436757.76,1,0,0,0,0,1,0.0,1,1,1
543,74436.56,1,0,1,0,0,0,0.0,1,1,0
469,2929.13,0,0,0,0,0,1,37548.33630852782,1,1,0
657,2333929.91,1,0,1,0,0,0,0.0,1,1,0
177,173546.24,0,0,0,0,0,1,-173546.24,1,1,0
157,12073.35,0,0,0,0,1,0,338707.7870664262,0,0,0
230,1553.66,0,1,0,0,0,0,825744.8721852301,0,0,0
694,11906.71,0,0,0,1,0,0,8812.20496324751,0,0,0
706,934590.45,1,0,1,0,0,0,0.0,1,1,0
283,3276.45,0,0,0,0,1,0,26347.370452020485,0,0,0
578,190815.79,1,0,1,0,0,0,0.0,1,1,0
208,13640.03,0,0,0,0,1,0,-13640.03,0,0,0
139,113705.16,0,0,1,0,0,0,175844.7625687796,1,1,0
370,283976.3,1,0,0,0,0,1,0.0,1,1,1
212,32345.66,0,0,1,0,0,0,-32345.66,1,1,0
305,350167.93,0,0,1,0,0,0,-350167.93,1,1,0
177,6280.64,0,0,0,0,1,0,-6280.64,0,0,0
177,194095.42,0,0,1,0,0,0,75596.34667495222,1,1,0
307,3401.99,0,0,0,0,1,0,61143.98881658081,0,0,0
399,104526.13,0,1,0,0,0,0,16386094.315378102,0,0,0
488,50279.4,1,0,0,0,0,1,0.0,1,1,0
378,212804.23,0,1,0,0,0,0,10081600.352426233,0,0,0
15,68232.96,0,0,1,0,0,0,5352.932812571948,1,1,0
139,81832.06,0,1,0,0,0,0,15249588.589260597,0,0,0
477,815297.9,1,0,1,0,0,0,0.0,1,1,0
16,59357.94,0,1,0,0,0,0,1828.360122548569,0,0,0
327,123857.13,0,0,1,0,0,0,-123857.13,1,1,0
183,15084.41,0,0,1,0,0,0,179299.90311183885,1,1,0
17,2218.28,0,0,0,0,1,0,660206.7096699269,0,0,0
372,22722.16,0,0,0,0,1,0,18812.99712056942,0,0,0
207,350240.31,0,1,0,0,0,0,-333775.1223520115,0,0,0
254,62803.09,0,0,1,0,0,0,28967.505680883012,1,1,0
180,193327.47,0,0,1,0,0,0,-159529.47,1,1,0
349,13036.56,0,0,0,0,1,0,138181.60358304204,0,0,0
129,67430.19,0,1,0,0,0,0,-65383.33892647989,0,0,0
93,71750.06,0,0,1,0,0,0,29024.663710348002,1,1,0
43,90523.48,0,1,0,0,0,0,-72392.81604104652,0,0,0
612,346183.99,1,0,1,0,0,0,0.0,1,1,0
287,23845.63,0,0,0,0,1,0,23492.305100905895,0,0,0
19,5577.65,0,0,0,0,1,0,224375.38886486058,0,0,0
351,118111.77,1,0,0,0,0,1,0.0,1,1,0
283,2010.79,0,0,0,0,1,0,294157.47808325215,0,0,0
469,89275.65,0,0,1,0,0,0,-84217.65,1,1,0
246,831725.76,1,0,1,0,0,0,0.0,1,1,0
586,10000000.0,1,0,1,0,0,0,0.0,1,1,0
42,459523.7,0,0,0,0,0,1,-459523.7,1,1,1
237,15131.85,0,0,0,0,0,1,-15131.85,1,1,0
183,6224.35,0,0,0,0,1,0,-1243.3500000000004,0,0,0
307,16649.22,0,0,1,0,0,0,53645.889618248475,1,1,0
402,54582.28,0,1,0,0,0,0,-22518.649727847416,0,0,0
260,2789.31,0,0,0,0,1,0,-2642.31,0,0,0
389,1090527.71,1,0,0,0,0,1,0.0,1,1,1
430,3302492.95,1,0,0,0,0,1,0.0,1,1,1
308,22002.55,0,0,0,0,1,0,-22002.55,0,0,0
211,56747.77,0,0,1,0,0,0,-56747.77,1,1,0
155,81565.99,0,1,0,0,0,0,2262118.6785480883,0,0,0
331,2293.87,0,0,0,1,0,0,37095.608435586575,0,0,0
349,137397.67,0,0,1,0,0,0,-137397.67,1,1,0
120,24246.66,0,0,0,0,1,0,-24246.66,0,0,0
250,29811.51,0,1,0,0,0,0,3900.430645758821,0,0,0
557,3571807.73,1,0,0,0,0,1,0.0,1,1,1
737,1281113.84,1,0,0,0,0,1,0.0,1,1,1
329,9289.18,0,0,0,0,1,0,-9289.18,0,0,0
401,7046.64,0,0,1,0,0,0,-7046.64,1,1,0
10,9327.88,0,0,0,0,1,0,59613.12416775924,0,0,0
251,5139.55,0,0,0,0,1,0,-5139.55,0,0,0
13,248180.77,0,1,0,0,0,0,2897444.802532607,0,0,0
8,234381.1,0,1,0,0,0,0,-77959.2259943405,0,0,0
158,43529.44,0,0,0,0,1,0,27239.41716808091,0,0,0
17,122589.85,0,0,1,0,0,0,-85222.85,1,1,0
300,90349.18,0,0,0,0,0,1,-89937.18,1,1,0
373,614109.81,0,0,1,0,0,0,-614109.81,1,1,0
201,38712.06,0,1,0,0,0,0,134660.6751960061,0,0,0
276,195881.61,0,1,0,0,0,0,30341829.259132575,0,0,0
10,387609.23,0,1,0,0,0,0,7727442.854108237,0,0,0
528,181224.98,1,0,1,0,0,0,0.0,1,1,0
495,1301090.39,1,0,1,0,0,0,0.0,1,1,0
398,153784.98,0,1,0,0,0,0,27435304.081509773,0,0,0
641,2938833.22,1,0,1,0,0,0,0.0,1,1,0
353,63815.18,0,0,1,0,0,0,-63652.18,1,1,0
645,214760.72,1,0,1,0,0,0,0.0,1,1,0
62,724414.43,1,0,1,0,0,0,0.0,1,1,0
195,594229.77,1,0,0,0,0,1,0.0,1,1,1
712,372703.48,1,0,1,0,0,0,0.0,1,1,0
184,235560.91,0,0,1,0,0,0,-235560.91,1,1,0
276,246563.31,0,0,1,0,0,0,-174189.31,1,1,0
261,44077.82,0,0,1,0,0,0,-44077.82,1,1,0
692,165884.08,0,0,1,0,0,0,-165884.08,1,1,0
272,1061353.33,1,0,1,0,0,0,0.0,1,1,0
189,317698.54,0,0,1,0,0,0,-317698.54,1,1,0
464,880975.83,1,0,1,0,0,0,0.0,1,1,0
400,111076.23,0,0,1,0,0,0,-94337.23,1,1,0
46,460382.2,0,0,0,0,0,1,-460382.2,1,1,1
153,20480.45,0,0,1,0,0,0,162758.93989457958,1,1,0
326,16164.35,0,0,0,0,1,0,525243.4783558169,0,0,0
38,174807.63,0,0,1,0,0,0,-159209.25,1,1,0
331,398219.08,1,0,0,0,0,1,0.0,1,1,1
287,35700.22,0,0,0,0,1,0,7791.6479145983685,0,0,0
207,67859.38,0,1,0,0,0,0,-62195.585521929934,0,0,0
373,365781.2,0,1,0,0,0,0,-358205.030328378,0,0,0
236,4067.46,0,0,0,0,1,0,-4067.46,0,0,0
140,159596.74,0,0,1,0,0,0,-110170.73999999999,1,1,0
307,2826.53,0,0,1,0,0,0,-2826.53,1,1,0
587,985127.95,1,0,1,0,0,0,0.0,1,1,0
134,1525742.02,1,0,0,0,0,1,0.0,1,1,1
402,32530.92,0,1,0,0,0,0,716.9857628861282,0,0,0
41,13791.84,0,0,0,0,1,0,168840.36321383817,0,0,0
184,395570.16,0,0,1,0,0,0,-374994.16,1,1,0
346,37710.76,0,0,0,0,1,0,66738.13128682823,0,0,0
191,416284.7,1,0,1,0,0,0,0.0,1,1,0
201,63026.41,0,0,1,0,0,0,-63026.41,1,1,0
14,25241.95,0,0,1,0,0,0,857167.808593908,1,1,0
380,36407.44,0,1,0,0,0,0,115933.41176072546,0,0,0
637,1285.2,0,0,0,0,1,0,-1167.2,0,0,0
160,217371.23,0,1,0,0,0,0,-217383.51936650864,0,0,0
279,3316.21,0,0,0,0,1,0,-3316.21,0,0,0
730,10000000.0,1,0,0,0,0,1,17316238.382843725,1,1,1
211,135738.57,0,1,0,0,0,0,28257.819300697767,0,0,0
544,26895.86,0,0,1,0,0,0,-26895.86,1,1,0
350,93635.28,0,1,0,0,0,0,-42958.15982491999,0,0,0
186,327282.92,1,0,0,0,0,1,0.0,1,1,1
485,3351304.78,1,0,1,0,0,0,0.0,1,1,0
334,30042.23,0,0,0,0,1,0,-13128.23,0,0,0
8,183041.94,0,0,1,0,0,0,-167031.94,1,1,0
231,120.81,0,0,0,0,1,0,166688.2260414328,0,0,0
275,333060.56,0,0,1,0,0,0,-333060.56,1,1,0
25,781953.11,1,0,0,0,0,1,0.0,1,1,1
11,8859.58,0,0,0,0,1,0,32212.709530411536,0,0,0
41,15773.5,0,0,0,0,1,0,-4926.5,0,0,0
500,6992.16,0,0,0,0,1,0,-6992.16,0,0,0
209,33.12,0,0,0,0,1,0,-33.12,0,0,0
347,372953.68,0,0,1,0,0,0,-257505.36,1,1,0
689,291527.75,1,0,1,0,0,0,0.0,1,1,0
14,38731.73,0,1,0,0,0,0,11539602.892012702,0,0,0
23,25253.08,0,0,0,0,1,0,26535.73333098759,0,0,0
307,176326.53,0,1,0,0,0,0,861205.9906724945,0,0,0
203,14280.05,0,0,1,0,0,0,23605.64029020869,1,1,0
17,346744.23,0,0,1,0,0,0,-324915.23,1,1,0
371,18053.66,0,0,1,0,0,0,-17251.66,1,1,0
466,1181514.54,0,0,0,0,0,1,-1177469.54,1,1,1
140,138686.45,0,1,0,0,0,0,2231942.5644731782,0,0,0
302,42288.75,0,1,0,0,0,0,946063.7242938813,0,0,0
585,153849.2,0,0,1,0,0,0,-134049.2,1,1,0
276,3051.74,0,0,0,0,1,0,48857.46309615207,0,0,0
284,741277.85,1,0,1,0,0,0,0.0,1,1,0
253,250350.98,0,0,1,0,0,0,-250350.98,1,1,0
15,18303.84,0,0,0,0,1,0,187784.59687913515,0,0,0
339,1532281.61,1,0,0,0,0,1,0.0,1,1,1
183,1848.31,0,0,0,0,1,0,14654.646764653227,0,0,0
202,4827.18,0,0,0,0,1,0,-4649.18,0,0,0
23,2344.16,0,0,0,0,1,0,2771.9094916806825,0,0,0
260,50959.46,0,0,1,0,0,0,41010.38813596909,1,1,0
257,24663.73,0,0,0,0,1,0,-24663.73,0,0,0
203,321676.95,0,0,1,0,0,0,-321100.95,1,1,0
686,1637875.33,1,0,0,0,0,1,0.0,1,1,1
331,222104.35,0,0,1,0,0,0,-158208.35,1,1,0
6,25975.86,1,0,0,0,0,1,0.0,1,1,0
121,130987.75,1,0,0,0,0,1,0.0,1,1,0
374,342922.39,0,1,0,0,0,0,3914101.9784411597,0,0,0
235,12595.62,0,0,0,0,1,0,-12595.62,0,0,0
142,73064.41,1,0,0,0,0,1,0.0,1,1,0
346,18040.77,0,0,0,0,1,0,4295.862414158317,0,0,0
202,3565.5,0,0,0,0,1,0,-3565.5,0,0,0
547,16881.82,0,0,0,0,1,0,66146.08019617974,0,0,0
7,6933.54,0,0,0,0,1,0,68789.32101975539,0,0,0
357,2239461.29,1,0,0,0,0,1,0.0,1,1,1
354,305345.47,0,1,0,0,0,0,22336245.921304204,0,0,0
405,1314.0,0,0,0,0,1,0,-1314.0,0,0,0
23,156868.54,0,1,0,0,0,0,2537100.136871166,0,0,0
229,450333.49,0,0,1,0,0,0,-450333.49,1,1,0
374,26207.66,0,1,0,0,0,0,15894914.795196915,0,0,0
18,178478.0,0,0,1,0,0,0,-174888.0,1,1,0
1,416001.33,1,0,1,0,0,0,-416001.33,1,1,0
692,136409.41,0,1,0,0,0,0,-126862.3011523582,0,0,0
300,223018.56,0,0,1,0,0,0,-211072.56,1,1,0
